"","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted"
"2017-11-15",210.880005,211.979996,209.619995,209.860001,1816300,197.526962
"2017-11-16",210.380005,212.009995,209.899994,211.130005,1919600,198.722321
"2017-11-17",210.460007,211.460007,209.149994,209.899994,1887500,197.564621
"2017-11-20",210,210.679993,209.580002,210.25,2040400,197.894073
"2017-11-21",211.130005,212.850006,210.75,212.600006,2327200,200.105911
"2017-11-22",212.259995,212.809998,210.759995,211.220001,2257800,198.807022
"2017-11-24",212,212.929993,211,212.509995,744000,200.02121
"2017-11-27",212.25,214.25,211.809998,212.399994,2856300,199.917694
"2017-11-28",213.880005,216.309998,212.509995,216.139999,2905700,203.437897
"2017-11-29",217.699997,224.270004,217.360001,222.880005,4247200,209.781799
"2017-11-30",223.830002,228.75,222.289993,228.169998,6846400,215.486038
"2017-12-01",228.889999,229.220001,221.080002,226.779999,3325800,214.173325
"2017-12-04",229.259995,231.770004,221.399994,221.419998,5591500,209.111252
"2017-12-05",221,223.720001,219.160004,220.089996,3246300,207.855179
"2017-12-06",221.020004,221.960007,219.029999,219.940002,2397500,207.713531
"2017-12-07",220.589996,220.610001,218.190002,220.149994,2661600,207.91185
"2017-12-08",220.550003,224.330002,220.220001,223.910004,2233300,211.462875
"2017-12-11",222.509995,224.820007,222.039993,222.770004,1599500,210.386215
"2017-12-12",221.399994,223.419998,221.259995,222.490005,2294100,210.121796
"2017-12-13",221.740005,224.949997,221.229996,224.350006,3059400,211.878372
"2017-12-14",225,226.970001,221.009995,221.25,2811700,208.950699
"2017-12-15",223.75,223.75,220.630005,221.820007,6293400,209.489014
"2017-12-18",222.600006,224.809998,222.190002,222.669998,3194100,210.291779
"2017-12-19",222.990005,223.789993,220.850006,222.039993,2340200,209.696808
"2017-12-20",223.110001,224.889999,221.729996,222.380005,2633200,210.017929
"2017-12-21",223.119995,223.940002,221.369995,221.690002,2955300,209.366272
"2017-12-22",222,222.350006,218.449997,220,1959700,207.770187
"2017-12-26",219.089996,220.419998,219.089996,219.600006,1482400,207.392471
"2017-12-27",219.979996,221.440002,219.25,220.419998,1861900,208.16684
"2017-12-28",221.460007,222.789993,220.149994,222.770004,1452600,210.386215
"2017-12-29",223.949997,223.949997,220.460007,220.460007,2350200,208.204636
"2018-01-02",221.020004,222.449997,220,221.160004,3485000,208.865723
"2018-01-03",221.619995,223.809998,220.520004,223.479996,2417600,211.056763
"2018-01-04",224.339996,226.100006,224.169998,224.449997,2749100,211.972794
"2018-01-05",225.190002,229.050003,224.720001,228.729996,2432800,216.014908
"2018-01-08",228.130005,228.710007,224.610001,224.759995,2850800,212.265625
"2018-01-09",224.759995,226.630005,223.300003,225.880005,2672200,213.323349
"2018-01-10",224.830002,225.009995,223.029999,224.199997,2311600,211.73671
"2018-01-11",224.179993,225.919998,223.699997,225.389999,2543600,212.860565
"2018-01-12",227.449997,229.899994,226.520004,228.639999,3943800,215.929932
"2018-01-16",233.369995,235,231.25,232.899994,6852600,219.953079
"2018-01-17",234.669998,238.960007,233.850006,238.429993,5124800,225.17569
"2018-01-18",239.259995,243.899994,238.550003,243.160004,6234200,229.642761
"2018-01-19",244.179993,244.350006,241.070007,243.350006,4293600,229.822174
"2018-01-22",243.589996,243.800003,241.360001,243.559998,4012200,230.020508
"2018-01-23",242.990005,246.979996,242.410004,245.210007,3300000,231.578796
"2018-01-24",246.009995,247.309998,243.710007,244.850006,2733300,231.238831
"2018-01-25",244.75,246.190002,243.899994,245.179993,2420500,231.55043
"2018-01-26",245,248.740005,244.460007,248.470001,2615300,234.657547
"2018-01-29",249.279999,250.789993,247.399994,247.410004,2564700,233.656464
"2018-01-30",232.880005,242.740005,232.100006,236.649994,11565500,223.494598
"2018-01-31",242.839996,247,235.759995,236.779999,5187400,223.617401
"2018-02-01",235.259995,237.820007,233.830002,235.220001,4268300,222.144104
"2018-02-02",233,236.300003,231.190002,231.880005,3959900,218.989807
"2018-02-05",230.789993,233.110001,208.479996,220.020004,6290000,207.789063
"2018-02-06",212.199997,226.509995,210.210007,225.179993,7064800,212.662262
"2018-02-07",222.330002,229.289993,221.509995,225.820007,5589200,213.266693
